Total solar irradiance (W/m2),Air temperature  (°C) ,Relative humidity (%),Power (MW)
318.22,9.47,64.87,8.05
297.32,10.39,70.25,8.4
274.78,9.78,67.21,10.81
328.05,10.59,71.28,10.14
291.6,11.39,61.77,10.03
318.16,11.76,63.11,9.04
285.16,9.88,65.93,9.16
271.24,11.64,72.08,9.45
282.2,9.5,61.83,9.15
277.01,10.92,62.43,8.51
263.36,10.53,61.82,8.62
216.5,9.7,75.03,8.09
191.88,10.92,72.71,6.38
193.66,10.93,64.67,6.16
186.41,10.5,77.02,5.89
168.11,9.95,78.06,5.06
115.28,9.93,68.55,3.52
96.49,9.49,72.23,2.82
59.03,8.34,78.2,1.75
32.97,8.24,71.84,1.14
11.47,8.84,81.64,0.4
0.0,7.77,78.41,0.0
0.0,7.31,81.54,0.0
0.0,7.24,72.95,0.0
0.0,6.74,80.99,0.0
0.0,6.98,81.14,0.0
0.0,6.1,83.33,0.0
0.0,6.74,84.22,0.0
0.0,4.35,80.89,0.0
15.52,5.09,88.3,0.54
33.54,4.58,79.26,1.15
56.25,5.45,90.97,1.64
80.74,5.39,91.64,2.29
112.91,5.68,82.54,3.32
140.78,5.54,91.18,3.76
161.68,6.22,81.55,5.58
197.79,6.61,88.96,5.45
226.17,8.81,81.77,6.01
239.44,8.39,76.84,7.39
212.21,8.86,79.67,6.9
225.02,10.39,72.35,7.32
292.8,10.64,74.13,7.72
290.93,11.59,68.33,8.21
288.85,11.82,62.85,8.81
285.35,11.42,66.86,9.75
292.37,12.75,62.84,10.59
336.11,12.65,70.58,9.97
349.35,12.97,73.04,10.93
304.67,11.59,74.56,11.27
368.82,14.39,68.66,11.25
338.71,13.75,64.94,10.66
342.25,15.16,62.36,12.46
353.95,14.13,67.67,11.2
325.85,15.87,65.45,12.07
330.4,15.82,65.08,11.16
315.54,14.02,61.04,10.75
318.93,13.91,65.81,9.9
306.94,13.65,59.01,10.36
305.36,15.36,60.6,8.47
263.35,15.17,66.07,8.84
244.25,14.25,65.21,8.09
244.91,14.5,68.31,7.32
176.15,12.05,63.48,6.19
162.77,13.57,71.41,5.25
125.07,11.38,66.96,4.56
113.17,12.94,79.99,2.9
66.17,12.04,70.74,2.07
35.54,12.89,71.86,1.04
12.84,10.56,75.09,0.44
0.0,10.02,70.42,0.0
0.0,12.04,82.33,0.0
0.0,11.42,76.39,0.0
0.0,11.06,83.27,0.0
0.0,10.86,75.64,0.0
0.0,9.61,87.47,0.0
0.0,8.79,91.91,0.0
0.0,9.66,100.0,0.0
14.49,10.31,99.14,0.41
23.07,9.96,100.0,0.79
37.81,10.42,95.87,1.11
49.88,10.79,99.29,1.46
52.28,10.45,100.0,1.68
64.98,9.77,100.0,1.73
77.79,9.52,97.53,2.16
89.64,11.27,100.0,2.28
81.76,11.08,100.0,2.36
96.96,10.72,100.0,2.86
91.22,11.08,100.0,2.97
107.01,13.3,100.0,2.91
114.25,13.71,92.07,3.4
137.68,12.13,100.0,3.77
143.29,13.64,100.0,4.16
135.25,14.31,98.31,3.69
163.49,13.79,100.0,3.88
143.64,13.24,97.91,4.07
172.41,13.7,90.55,4.45
160.42,13.67,98.16,5.18
150.95,14.84,100.0,5.01
175.45,12.83,97.75,4.69
163.19,13.58,89.39,4.98
167.63,12.39,99.2,5.8
169.97,14.21,100.0,5.85
173.88,13.15,90.73,4.73
175.64,12.63,100.0,4.58
163.93,12.27,100.0,5.28
169.92,13.63,100.0,4.77
154.31,13.37,100.0,4.53
147.84,13.17,98.15,3.96
154.2,15.34,100.0,4.13
153.73,15.4,100.0,3.66
119.65,13.58,93.8,3.87
113.99,12.52,90.16,3.14
98.28,14.61,100.0,2.55
77.98,13.34,97.93,2.39
52.3,13.88,100.0,1.27
27.82,15.02,100.0,0.79
0.0,14.16,100.0,0.0
0.0,15.14,100.0,0.0
0.0,14.89,100.0,0.0
0.0,14.51,92.56,0.0
0.0,13.94,100.0,0.0
0.0,14.42,100.0,0.0
0.0,13.58,100.0,0.0
0.0,11.78,100.0,0.0
0.0,10.66,89.73,0.0
0.0,9.52,100.0,0.0
0.0,10.52,100.0,0.0
19.74,9.83,100.0,0.74
27.29,11.03,88.65,1.08
40.46,10.85,93.04,1.65
48.17,9.98,94.25,2.09
61.11,10.75,100.0,2.27
78.32,10.74,100.0,2.41
85.46,9.99,88.79,3.27
97.68,9.85,97.3,2.93
82.96,12.13,92.21,2.84
94.67,10.61,100.0,3.34
85.09,11.35,100.0,3.51
89.94,11.27,91.86,3.24
90.17,11.54,95.35,3.23
83.69,10.98,91.38,3.09
94.98,12.07,100.0,3.28
85.34,12.1,100.0,3.43
89.72,12.12,100.0,3.2
91.07,10.71,90.24,3.69
105.04,12.74,89.12,3.07
103.34,12.73,89.69,2.97
96.25,11.51,100.0,3.44
92.77,11.04,88.65,3.36
84.14,12.39,100.0,3.08
86.1,12.41,99.42,3.53
91.27,10.93,87.47,3.22
80.54,9.77,98.08,3.17
84.04,11.49,92.49,2.98
86.22,10.23,99.92,2.89
74.42,11.98,100.0,2.34
77.03,11.39,100.0,2.15
61.2,9.72,100.0,2.25
56.84,10.73,89.65,2.0
49.16,10.12,98.62,1.86
39.84,12.09,92.35,1.31
33.09,11.4,100.0,1.24
20.85,10.65,94.42,0.69
10.68,11.12,95.11,0.45
0.0,10.98,89.18,0.0
0.0,11.87,93.86,0.0
0.0,10.83,100.0,0.0
0.0,10.47,88.89,0.0
0.0,11.15,100.0,0.0
0.0,10.42,94.29,0.0
0.0,9.86,89.18,0.0
0.0,9.87,90.11,0.0
0.0,6.6,89.89,0.0
18.35,7.76,100.0,0.53
42.19,7.2,89.81,1.22
65.76,8.36,97.75,2.27
90.5,8.67,89.18,2.8
142.77,7.3,92.08,4.35
186.91,8.28,100.0,5.5
221.51,8.98,89.39,6.19
241.74,8.3,91.87,7.61
267.26,9.78,81.56,8.88
329.13,10.92,82.52,8.13
339.48,11.24,77.34,9.24
377.24,11.43,87.03,9.34
331.29,10.76,79.13,9.56
417.93,11.89,81.0,11.93
383.11,14.15,76.27,11.54
402.12,12.45,86.06,13.43
402.89,13.86,80.32,12.08
450.7,14.9,77.01,14.43
466.64,13.77,80.86,15.59
475.76,16.65,69.49,13.98
459.27,16.12,64.43,16.01
514.64,17.21,69.63,15.1
451.54,14.68,64.43,15.84
467.81,16.82,66.59,14.05
555.34,16.28,67.62,15.32
471.23,15.59,74.44,14.64
493.85,18.29,62.57,14.07
493.47,16.92,66.91,13.48
438.78,18.49,65.24,12.7
445.44,18.55,66.05,14.01
380.0,16.44,64.55,11.18
318.69,17.8,71.64,9.42
299.97,16.31,75.57,9.33
304.0,13.84,70.35,8.48
222.54,15.79,72.62,6.7
220.56,15.38,69.51,5.63
159.08,12.97,69.13,4.55
99.24,12.6,80.26,3.09
59.72,13.74,70.15,1.67
25.48,12.8,74.65,0.67
0.0,12.11,75.9,0.0
0.0,11.69,81.8,0.0
0.0,11.49,82.13,0.0
0.0,10.75,73.02,0.0
0.0,12.8,76.71,0.0
0.0,11.63,81.81,0.0
0.0,12.18,86.55,0.0
0.0,8.08,75.92,0.0
0.0,9.04,79.08,0.0
9.68,9.24,79.73,0.41
16.44,9.18,85.0,0.63
25.8,8.17,91.73,0.92
32.43,7.87,88.7,1.56
42.9,9.01,90.57,1.8
61.12,9.73,79.33,2.46
63.23,10.24,90.16,2.49
66.21,10.07,91.8,2.79
81.18,9.23,82.44,3.37
88.54,10.18,80.82,3.27
76.45,10.64,92.4,3.31
82.1,10.45,81.67,3.35
84.59,10.57,88.52,3.9
84.57,10.03,87.32,3.89
95.35,11.51,80.26,3.99
102.41,9.54,77.24,3.43
97.96,11.37,92.26,4.45
105.95,9.82,83.23,4.05
109.15,10.72,80.65,3.95
106.57,12.27,84.47,3.81
107.83,10.43,80.28,4.52
102.65,10.5,88.73,3.84
100.23,10.57,82.38,4.22
115.2,12.06,89.49,4.35
109.09,11.96,85.18,4.56
105.43,11.79,92.08,3.91
104.78,12.84,89.31,4.38
93.57,11.23,89.21,3.55
88.1,10.55,89.73,3.29
79.62,11.17,91.63,3.37
77.0,10.82,89.19,3.16
68.42,13.01,90.74,2.48
62.34,12.96,97.19,2.49
52.11,11.75,95.0,2.16
40.31,10.68,94.48,1.8
33.12,10.45,80.69,1.23
18.51,12.11,97.09,0.88
12.42,10.25,99.88,0.48
0.0,11.3,81.05,0.0
0.0,11.23,88.86,0.0
0.0,12.21,91.21,0.0
0.0,10.21,85.37,0.0
0.0,11.5,91.16,0.0
0.0,9.45,87.23,0.0
0.0,10.66,84.87,0.0
0.0,10.11,82.94,0.0
0.0,9.34,91.11,0.0
11.96,9.77,100.0,0.36
26.4,8.68,90.54,0.73
44.51,8.82,98.54,1.4
75.83,9.17,90.07,2.08
90.85,9.46,89.97,3.02
125.48,8.84,86.99,4.04
134.47,9.44,90.2,4.03
191.41,9.37,93.82,5.15
190.32,9.55,81.53,5.33
235.17,11.04,87.03,6.2
244.85,9.13,81.01,6.5
238.36,10.17,91.77,6.49
268.72,12.34,80.7,7.1
273.9,11.46,83.35,8.23
284.91,10.51,88.52,7.98
265.33,12.31,75.64,7.94
299.67,11.52,84.35,9.04
320.63,12.76,88.06,8.6
276.83,12.79,81.55,7.97
331.75,13.38,81.52,8.18
301.45,11.6,74.14,10.14
356.27,14.06,70.99,10.5
323.69,14.67,77.2,10.41
349.94,14.68,67.9,10.76
355.68,14.82,72.57,9.15
333.79,15.67,76.6,8.46
307.8,13.55,78.18,9.06
256.92,13.62,64.69,8.8
281.15,14.01,71.05,7.98
219.91,15.5,76.94,7.08
191.66,15.19,65.02,6.43
150.11,12.58,68.99,5.39
149.81,14.1,75.69,3.72
103.9,14.43,69.44,3.25
89.5,12.95,75.73,2.87
77.92,13.9,76.89,2.27
48.86,13.06,82.16,1.74
35.39,12.69,71.24,1.14
18.59,11.1,69.78,0.53
0.0,12.07,78.98,0.0
0.0,11.58,80.5,0.0
0.0,12.41,83.38,0.0
0.0,11.45,79.82,0.0
0.0,11.51,73.71,0.0
0.0,11.14,72.77,0.0
0.0,11.64,85.7,0.0
0.0,11.17,76.99,0.0
0.0,7.33,62.34,0.0
0.0,8.4,68.72,0.0
19.02,8.23,73.15,0.6
29.55,7.77,70.21,0.9
42.97,9.31,75.3,1.39
57.44,7.99,68.5,1.92
71.6,9.45,61.33,2.38
84.51,9.0,62.94,3.19
89.72,10.31,67.17,3.44
109.89,9.99,60.95,4.13
143.22,10.8,66.04,4.64
157.61,9.62,62.47,4.46
156.05,10.71,61.74,5.95
152.71,12.76,59.91,6.5
173.9,11.15,57.31,6.63
178.2,12.33,55.49,6.56
203.33,12.33,57.22,7.16
229.04,12.95,54.14,7.58
248.53,15.17,50.26,7.73
231.8,15.66,59.05,9.79
229.04,13.15,55.97,10.0
241.66,16.89,56.75,8.75
288.87,16.01,51.82,9.89
261.0,14.31,50.33,10.62
262.97,17.01,55.74,11.37
317.9,17.89,55.27,9.58
301.4,18.82,48.1,9.98
286.71,17.11,52.16,10.39
259.94,19.15,48.58,10.71
239.99,15.84,57.64,8.34
243.98,18.0,49.29,9.48
253.06,19.22,50.1,7.9
185.77,18.02,55.08,7.3
176.74,18.34,57.52,6.51
167.61,16.38,54.34,5.67
162.9,15.42,58.32,5.13
138.1,14.86,54.58,4.93
97.49,16.9,61.47,3.17
72.91,14.94,53.89,2.4
40.45,16.03,65.82,1.26
15.53,12.66,56.96,0.59
0.0,14.98,57.13,0.0
0.0,13.04,59.69,0.0
0.0,12.09,63.47,0.0
0.0,14.37,63.57,0.0
0.0,13.74,68.25,0.0
0.0,11.28,66.37,0.0
0.0,11.47,65.99,0.0
0.0,11.3,76.02,0.0
0.0,10.63,70.07,0.0
10.47,10.82,82.96,0.36
17.89,9.74,78.95,0.65
23.32,10.55,77.79,0.82
33.14,11.74,78.53,1.27
43.09,10.79,78.61,1.46
55.5,12.88,82.77,1.58
52.4,12.21,83.8,1.98
69.7,12.73,74.25,2.31
78.97,13.14,70.38,2.59
86.53,11.41,77.35,2.68
79.7,13.77,84.97,3.0
103.92,14.11,71.25,3.25
114.54,13.92,82.15,3.92
123.05,12.6,78.16,3.56
109.52,11.92,85.82,4.41
120.62,14.1,78.81,4.59
121.53,13.03,74.1,4.59
132.48,12.7,76.37,4.91
166.18,14.45,79.65,5.33
171.79,12.64,78.62,5.77
167.85,13.94,81.24,6.2
173.98,14.91,77.69,5.45
154.0,13.23,75.68,5.65
160.99,13.93,72.84,5.57
157.1,15.82,80.19,5.76
138.55,15.85,75.1,5.54
143.01,14.85,86.81,4.83
128.07,14.42,78.45,4.77
112.78,13.62,78.38,4.39
92.75,15.23,80.72,3.78
81.68,15.02,82.03,3.19
73.62,15.78,77.56,2.43
56.08,14.95,79.57,2.22
47.84,15.03,78.57,1.5
36.71,14.77,78.22,1.43
28.05,14.47,83.58,1.01
18.3,14.69,76.11,0.62
11.06,12.39,73.14,0.39
0.0,12.45,82.3,0.0
0.0,12.93,79.17,0.0
0.0,13.11,81.82,0.0
0.0,13.91,77.62,0.0
0.0,11.9,82.85,0.0
0.0,13.62,82.51,0.0
0.0,12.08,89.08,0.0
0.0,11.84,84.26,0.0
0.0,10.01,78.49,0.0
21.79,10.65,75.28,0.64
40.61,9.89,81.9,1.38
80.59,12.03,70.53,2.22
112.08,10.43,76.7,3.04
132.58,12.61,72.26,4.34
175.84,11.57,74.56,6.1
196.33,13.06,77.29,6.07
261.87,14.2,64.84,7.06
266.94,15.18,65.56,9.04
322.69,15.18,66.57,10.01
310.26,15.35,74.2,9.23
282.78,17.33,70.39,10.0
324.26,17.36,68.19,11.38
316.62,15.42,65.48,11.5
364.0,18.44,61.08,10.51
364.34,17.79,69.28,10.75
385.64,20.01,59.91,12.13
372.66,18.97,56.57,11.1
401.63,19.96,63.68,11.85
378.35,20.37,63.64,12.3
431.54,19.83,63.08,11.7
391.68,20.95,64.92,12.88
373.37,19.57,52.24,13.26
430.01,18.64,56.44,11.53
374.05,18.37,62.0,11.59
366.46,18.52,52.44,13.23
356.98,20.4,55.12,10.53
353.0,21.6,55.16,9.73
307.9,20.8,59.08,9.09
240.12,21.31,62.06,7.53
210.99,19.91,63.4,6.55
161.75,19.55,59.15,5.23
102.54,18.19,64.07,3.39
87.49,16.44,63.72,2.94
74.81,20.21,59.51,2.11
61.15,17.51,66.47,1.81
35.87,16.64,60.33,1.15
23.04,17.25,63.85,0.82
13.87,16.63,70.67,0.51
0.0,15.24,69.82,0.0
0.0,14.62,66.74,0.0
0.0,14.78,69.52,0.0
0.0,13.9,78.89,0.0
0.0,15.21,71.45,0.0
0.0,15.49,66.07,0.0
0.0,13.25,81.49,0.0
0.0,13.63,67.45,0.0
0.0,9.64,83.17,0.0
12.35,8.63,83.87,0.5
25.78,10.29,79.24,1.09
50.16,10.64,83.69,2.01
79.29,8.87,90.44,3.42
118.24,10.56,83.14,4.09
140.9,10.31,89.99,5.66
172.25,11.34,78.49,5.88
186.61,11.47,80.54,8.49
198.88,11.65,76.32,7.75
248.36,10.53,79.74,10.74
242.21,12.22,72.64,11.19
304.58,12.28,74.08,9.77
276.13,12.13,75.56,10.26
297.53,14.97,77.42,11.8
295.66,15.41,68.25,13.57
330.1,15.86,76.32,12.21
345.09,14.88,76.72,14.48
347.21,14.42,62.5,14.7
390.0,15.21,62.79,13.43
406.47,18.07,66.54,12.93
340.92,16.5,57.05,14.54
375.83,19.0,57.34,14.16
379.68,17.73,61.43,14.49
351.36,18.12,58.51,14.71
433.2,17.37,62.04,16.38
348.25,18.54,61.28,15.93
394.69,20.41,49.96,13.99
352.02,17.85,60.34,13.83
319.51,19.83,58.27,12.38
346.94,16.59,54.62,13.88
287.39,20.72,58.37,12.41
282.26,18.88,50.78,10.19
249.42,19.66,59.01,8.53
225.42,18.02,55.12,8.15
205.45,16.5,63.28,8.13
147.77,19.28,60.15,5.81
134.66,17.82,64.01,4.44
83.57,15.81,60.95,3.66
47.82,17.15,61.58,2.06
24.34,15.55,64.41,0.92
0.0,14.83,61.09,0.0
0.0,14.95,56.69,0.0
0.0,16.63,57.63,0.0
0.0,16.05,57.78,0.0
0.0,13.32,68.19,0.0
0.0,12.99,70.14,0.0
0.0,13.89,75.71,0.0
0.0,10.69,100.0,0.0
0.0,10.42,100.0,0.57
0.0,8.97,100.0,1.18
15.25,8.73,100.0,2.05
26.39,10.28,100.0,3.14
31.61,9.06,100.0,3.96
42.23,9.9,100.0,5.56
51.74,9.46,100.0,6.16
74.63,10.95,96.6,8.27
71.26,9.99,100.0,7.7
94.96,9.85,100.0,8.59
93.09,10.95,100.0,9.94
128.94,11.63,100.0,10.97
145.16,11.54,93.03,9.88
140.13,11.49,98.3,11.82
171.28,12.25,85.97,11.11
200.75,12.56,95.05,11.86
213.11,12.9,100.0,10.53
197.13,13.21,100.0,10.93
210.9,11.95,84.79,13.69
217.99,12.98,87.47,13.72
234.54,15.21,90.69,13.47
279.02,15.95,84.22,13.36
246.02,13.31,77.83,14.71
258.58,14.41,92.32,12.46
274.89,16.38,89.11,14.82
269.84,16.72,89.94,12.84
237.82,17.84,88.52,11.59
264.02,17.86,82.9,13.41
236.13,15.47,77.47,11.25
198.21,15.18,87.93,10.98
203.8,16.9,78.65,9.08
199.75,15.14,78.38,8.58
143.53,17.47,93.99,7.47
141.88,16.49,84.21,5.71
131.13,16.37,83.15,5.6
110.23,14.48,97.23,4.44
70.48,15.13,94.15,2.91
51.04,13.84,92.78,1.86
34.72,16.51,90.6,1.13
13.7,13.41,85.07,0.54
0.0,15.35,86.17,0.0
0.0,14.4,100.0,0.0
0.0,12.89,92.6,0.0
0.0,13.5,89.89,0.0
0.0,13.85,84.28,0.0
0.0,12.68,98.34,0.0
0.0,13.81,96.86,0.0
0.0,8.08,69.55,0.0
14.03,8.95,69.5,0.56
32.23,9.78,72.97,1.24
49.8,9.72,62.47,2.13
76.59,9.66,70.47,2.81
116.17,9.5,61.57,4.48
123.62,10.95,69.81,4.68
161.38,9.53,65.99,6.1
202.82,10.03,57.73,8.09
204.48,10.73,68.11,7.95
238.47,11.16,65.79,7.78
219.96,12.84,54.46,8.61
238.47,14.72,53.55,9.45
248.84,13.01,53.19,10.01
251.36,14.31,55.09,10.79
279.64,14.08,53.45,11.35
265.85,15.28,51.37,11.34
321.2,13.91,57.3,10.73
308.86,15.6,51.89,12.17
290.16,16.86,55.11,11.84
309.67,17.52,49.59,13.01
298.65,17.6,57.2,11.09
291.16,17.61,53.29,11.14
354.41,15.97,59.64,12.94
335.85,18.64,57.04,12.56
351.55,15.59,50.17,13.78
322.49,15.83,49.5,12.84
315.87,15.94,55.77,10.73
286.3,17.85,50.16,10.09
252.72,15.58,50.47,10.9
237.0,17.53,50.64,9.81
237.31,16.89,53.62,7.45
184.23,15.18,57.19,6.79
172.84,15.26,54.01,5.49
143.12,17.92,65.07,5.48
116.33,15.5,63.21,4.89
89.53,14.68,57.77,3.4
65.83,15.24,70.75,3.09
50.1,14.8,61.98,2.0
26.99,16.87,71.23,1.26
13.18,15.53,63.18,0.49
0.0,14.41,71.77,0.0
0.0,14.37,73.12,0.0
0.0,14.44,61.43,0.0
0.0,13.35,74.85,0.0
0.0,14.08,69.54,0.0
0.0,13.34,72.22,0.0
0.0,13.84,70.5,0.0
0.0,9.17,92.41,0.0
0.0,9.11,95.69,0.0
0.0,9.1,85.12,0.0
16.97,9.26,97.86,0.64
27.8,10.02,91.02,1.02
38.56,9.91,81.49,1.32
54.88,8.32,82.33,1.86
66.95,9.79,87.18,2.31
61.67,9.53,84.05,2.44
88.11,10.44,83.32,2.97
79.41,9.52,77.55,3.33
85.89,9.21,81.7,2.97
92.99,9.94,88.41,3.44
100.11,10.88,77.55,3.15
102.84,9.43,87.37,3.24
107.95,9.75,87.06,4.01
102.62,10.07,80.04,4.18
109.17,11.03,92.01,4.37
124.71,11.64,78.77,3.61
109.56,11.62,88.63,4.15
129.94,9.86,84.86,4.26
129.08,10.63,78.93,3.9
129.88,10.99,82.23,4.83
124.91,12.04,81.71,4.61
110.39,12.43,75.09,4.89
112.48,12.5,77.03,3.95
127.2,11.92,73.13,3.9
128.98,10.46,86.07,4.49
105.72,11.6,78.05,4.11
111.12,11.38,73.01,3.58
85.44,11.38,75.44,3.56
81.73,9.87,81.66,3.11
64.57,10.38,82.62,2.75
58.38,9.92,83.06,2.13
56.44,9.83,83.54,2.13
50.92,9.72,74.46,1.55
40.97,9.78,72.96,1.25
29.8,9.21,76.38,0.93
18.29,9.67,87.32,0.74
10.85,9.94,81.84,0.46
0.0,10.31,78.36,0.0
0.0,10.32,76.56,0.0
0.0,9.16,79.85,0.0
0.0,8.72,75.75,0.0
0.0,8.97,76.09,0.0
0.0,8.43,82.72,0.0
0.0,8.14,84.31,0.0
0.0,9.75,88.54,0.0
0.0,4.62,79.25,0.0
0.0,4.73,83.1,0.0
16.35,4.78,75.78,0.71
29.61,5.6,79.21,1.42
47.88,4.7,72.65,1.92
64.63,5.46,79.88,2.93
79.13,5.62,71.24,3.08
100.78,6.24,67.3,4.2
109.56,5.77,68.66,5.21
116.78,6.3,65.9,5.01
140.04,6.62,74.25,5.85
153.16,7.26,74.66,5.33
131.55,7.64,64.29,6.09
153.77,7.5,73.03,6.31
139.68,8.94,63.25,6.64
139.02,7.95,72.46,6.71
143.51,8.19,71.91,6.6
141.78,8.05,73.06,7.0
155.21,7.91,62.85,7.51
167.77,8.57,62.0,7.68
164.71,8.92,63.11,6.29
152.77,7.61,68.78,7.29
175.47,9.25,62.89,7.24
150.45,8.74,74.35,6.62
175.14,8.48,66.52,7.76
178.35,8.72,70.3,6.97
164.56,8.27,64.99,7.8
182.87,7.91,67.93,7.0
144.96,7.02,61.62,6.48
163.07,8.25,60.93,5.69
138.13,6.81,61.91,5.43
111.79,7.8,71.97,5.16
108.37,7.84,65.94,4.69
87.42,7.31,63.14,3.64
86.1,6.41,75.18,3.67
82.86,7.53,65.96,2.9
67.09,7.01,69.8,2.34
47.77,5.94,78.75,1.88
36.32,6.67,70.41,1.23
19.6,5.99,79.53,0.85
9.69,6.02,73.5,0.42
0.0,6.3,73.49,0.0
0.0,6.31,82.77,0.0
0.0,5.75,71.44,0.0
0.0,5.51,69.09,0.0
0.0,5.59,72.24,0.0
0.0,4.96,78.46,0.0
0.0,5.23,73.99,0.0
0.0,4.04,98.94,0.0
10.34,4.11,92.62,0.42
30.14,3.61,98.09,0.96
57.11,3.91,100.0,2.17
79.78,4.13,100.0,3.59
131.95,3.79,100.0,4.57
147.86,4.2,89.64,6.6
175.99,4.71,100.0,8.34
258.02,4.49,100.0,9.59
280.69,5.23,100.0,10.19
270.74,6.27,86.73,10.17
317.8,5.96,89.49,11.95
332.14,6.55,78.08,13.74
336.66,7.27,80.56,15.4
366.13,7.13,85.56,16.05
397.55,7.97,81.39,16.27
392.64,9.29,78.76,15.42
464.01,9.64,67.11,16.12
527.4,9.45,72.0,16.86
522.89,9.98,73.09,17.76
501.01,9.83,72.76,21.44
485.86,10.2,72.33,21.33
491.85,10.88,66.45,19.49
585.32,11.09,57.17,21.66
549.74,11.2,60.4,21.21
529.46,10.81,54.01,22.36
484.94,13.35,64.25,18.76
578.83,13.33,54.99,18.49
516.67,12.7,56.49,18.42
513.37,13.26,56.69,19.51
483.23,12.92,61.19,16.65
406.91,10.82,62.93,14.1
396.8,12.15,61.75,15.18
350.83,10.71,69.02,11.23
327.23,11.47,64.28,10.17
274.96,11.47,67.7,9.15
225.79,11.16,64.06,9.03
152.93,10.29,76.67,7.11
132.58,10.03,65.59,4.91
79.31,11.32,79.98,2.73
34.85,8.99,82.75,1.49
10.26,9.83,78.2,0.38
0.0,9.0,79.36,0.0
0.0,8.86,86.56,0.0
0.0,8.57,88.16,0.0
0.0,7.95,86.01,0.0
0.0,7.08,87.67,0.0
0.0,7.27,76.84,0.0
0.0,-0.48,95.36,0.0
26.15,-0.22,83.29,0.91
59.07,0.06,98.12,2.34
93.98,0.37,88.95,3.76
149.63,0.62,90.99,5.13
213.29,1.25,86.63,6.44
268.16,2.07,91.25,7.95
273.91,2.44,84.68,10.27
373.69,4.07,73.72,13.52
444.31,4.4,68.52,15.21
450.56,6.14,72.24,15.34
466.85,7.72,74.26,15.81
492.99,7.46,60.44,16.33
555.26,10.46,62.36,17.61
526.82,9.25,54.22,19.73
555.13,10.38,56.24,19.84
548.73,12.25,50.8,19.32
625.69,14.1,46.05,19.46
694.86,13.82,54.87,23.93
693.54,12.78,50.6,23.46
594.63,13.02,46.29,23.38
718.59,16.09,42.97,23.72
695.22,16.82,45.72,22.32
717.58,14.24,46.98,26.51
766.57,17.66,43.82,22.67
680.45,17.94,38.87,22.73
692.87,16.38,46.82,25.55
634.33,16.47,47.02,24.97
669.46,17.75,41.99,20.56
658.61,15.28,37.83,19.41
594.16,15.27,39.82,17.55
512.23,15.35,42.56,16.52
398.28,14.62,41.08,16.94
413.48,15.74,50.85,12.6
382.94,17.11,49.04,11.13
336.54,14.33,53.72,9.6
282.72,14.12,55.73,7.99
200.83,16.31,51.68,6.76
128.5,15.29,55.56,4.24
93.1,14.0,54.93,2.9
40.39,15.47,54.91,1.63
14.42,14.98,65.59,0.45
0.0,13.24,64.25,0.0
0.0,11.53,69.08,0.0
0.0,11.47,63.78,0.0
0.0,10.29,62.29,0.0
0.0,8.89,70.48,0.0
0.0,7.96,73.86,0.0
0.0,2.4,90.03,0.0
23.37,2.96,89.52,1.02
45.16,3.28,96.32,2.23
92.36,3.28,94.1,3.28
116.7,3.46,86.2,4.56
